step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,notes
20,subscription,Stable Yield,10,Investment14,25,163.75,35.73,128.02,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
21,surplus_payout,Aggressive Alpha,40,Payment to Investment7 (surplus),35,128.75,0.73,128.02,Surplus ≥ 35; pool −35 and surplus −35
22,subscription,Capital Shield,6,Investment15,25,153.75,6.90,146.85,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
23,subscription,Aggressive Alpha,40,Investment16,25,178.75,10.23,168.52,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
24,subscription,Aggressive Alpha,40,Investment17,25,203.75,13.56,190.19,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
25,payout,Stable Yield,10,Payment to Investment8,27.5,176.25,13.56,162.69,Triad payout 27.5 USDT (10%); head 8 unlocked by 16 and 17; fund Stable Yield
26,subscription,Capital Shield,6,Investment18,25,201.25,19.73,181.52,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
27,subscription,Capital Shield,6,Investment19,25,226.25,25.90,200.35,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
28,payout,Aggressive Alpha,40,Payment to Investment9,35,191.25,25.90,165.35,Triad payout 35 USDT (40%); head 9 unlocked by 18 and 19; fund Aggressive Alpha
29,subscription,Stable Yield,10,Investment20,25,216.25,31.73,184.52,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
30,surplus_payout,Capital Shield,6,Payment to Investment10 (surplus),26.5,189.75,5.23,184.52,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
31,subscription,Balanced Growth,15,Investment21,25,214.75,10.65,204.10,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
32,subscription,Stable Yield,10,Investment22,25,239.75,16.48,223.27,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
33,subscription,Capital Shield,6,Investment23,25,264.75,22.65,242.10,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
34,payout,Aggressive Alpha,40,Payment to Investment11,35,229.75,22.65,207.10,Triad payout 35 USDT (40%); head 11 unlocked by 22 and 23; fund Aggressive Alpha
35,subscription,Capital Shield,6,Investment24,25,254.75,28.82,225.93,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
36,surplus_payout,Balanced Growth,15,Payment to Investment12 (surplus),28.75,226.00,0.07,225.93,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
37,subscription,Growth Partners,25,Investment25,25,251.00,4.65,246.35,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
38,subscription,Growth Partners,25,Investment26,25,276.00,9.23,266.77,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
39,subscription,Balanced Growth,15,Investment27,25,301.00,14.65,286.35,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
40,payout,Aggressive Alpha,40,Payment to Investment13,35,266.00,14.65,251.35,Triad payout 35 USDT (40%); head 13 unlocked by 26 and 27; fund Aggressive Alpha
41,subscription,Growth Partners,25,Investment28,25,291.00,19.23,271.77,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
42,subscription,Aggressive Alpha,40,Investment29,25,316.00,22.56,293.44,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
43,payout,Stable Yield,10,Payment to Investment14,27.5,288.50,22.56,265.94,Triad payout 27.5 USDT (10%); head 14 unlocked by 28 and 29; fund Stable Yield
44,subscription,Balanced Growth,15,Investment30,25,313.50,27.98,285.52,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
45,surplus_payout,Capital Shield,6,Payment to Investment15 (surplus),26.5,287.00,1.48,285.52,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
46,subscription,Capital Shield,6,Investment31,25,312.00,7.65,304.35,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
47,subscription,Balanced Growth,15,Investment32,25,337.00,13.07,323.93,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
48,subscription,Growth Partners,25,Investment33,25,362.00,17.65,344.35,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
49,payout,Aggressive Alpha,40,Payment to Investment16,35,327.00,17.65,309.35,Triad payout 35 USDT (40%); head 16 unlocked by 32 and 33; fund Aggressive Alpha
50,subscription,Aggressive Alpha,40,Investment34,25,352.00,20.98,331.02,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
51,subscription,Stable Yield,10,Investment35,25,377.00,26.81,350.19,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
52,payout,Aggressive Alpha,40,Payment to Investment17,35,342.00,26.81,315.19,Triad payout 35 USDT (40%); head 17 unlocked by 34 and 35; fund Aggressive Alpha
53,surplus_payout,Capital Shield,6,Payment to Investment18 (surplus),26.5,315.50,0.31,315.19,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
54,subscription,Aggressive Alpha,40,Investment36,25,340.50,3.64,336.86,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
55,subscription,Capital Shield,6,Investment37,25,365.50,9.81,355.69,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
56,subscription,Capital Shield,6,Investment38,25,390.50,15.98,374.52,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
57,subscription,Aggressive Alpha,40,Investment39,25,415.50,19.31,396.19,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
58,payout,Capital Shield,6,Payment to Investment19,26.5,389.00,19.31,369.69,Triad payout 26.5 USDT (6%); head 19 unlocked by 38 and 39; fund Capital Shield
59,subscription,Aggressive Alpha,40,Investment40,25,414.00,22.64,391.36,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
60,subscription,Capital Shield,6,Investment41,25,439.00,28.81,410.19,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
61,surplus_payout,Stable Yield,10,Payment to Investment20 (surplus),27.5,411.50,1.31,410.19,Surplus ≥ 27.5; pool −27.5 and surplus −27.5
62,subscription,Capital Shield,6,Investment42,25,436.50,7.48,429.02,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
63,subscription,Stable Yield,10,Investment43,25,461.50,13.31,448.19,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
64,payout,Balanced Growth,15,Payment to Investment21,28.75,432.75,13.31,419.44,Triad payout 28.75 USDT (15%); head 21 unlocked by 42 and 43; fund Balanced Growth
65,subscription,Balanced Growth,15,Investment44,25,457.75,18.73,439.02,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
66,subscription,Aggressive Alpha,40,Investment45,25,482.75,22.06,460.69,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
67,payout,Stable Yield,10,Payment to Investment22,27.5,455.25,22.06,433.19,Triad payout 27.5 USDT (10%); head 22 unlocked by 44 and 45; fund Stable Yield
68,subscription,Capital Shield,6,Investment46,25,480.25,28.23,452.02,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
69,surplus_payout,Capital Shield,6,Payment to Investment23 (surplus),26.5,453.75,1.73,452.02,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
70,subscription,Stable Yield,10,Investment47,25,478.75,7.56,471.19,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
71,subscription,Growth Partners,25,Investment48,25,503.75,12.14,491.61,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
72,subscription,Stable Yield,10,Investment49,25,528.75,17.97,510.78,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
73,payout,Capital Shield,6,Payment to Investment24,26.5,502.25,17.97,484.28,Triad payout 26.5 USDT (6%); head 24 unlocked by 48 and 49; fund Capital Shield
74,subscription,Stable Yield,10,Investment50,25,527.25,23.80,503.45,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
75,subscription,Stable Yield,10,Investment51,25,552.25,29.63,522.62,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
76,payout,Growth Partners,25,Payment to Investment25,31.25,521.00,29.63,491.37,Triad payout 31.25 USDT (25%); head 25 unlocked by 50 and 51; fund Growth Partners
77,subscription,Stable Yield,10,Investment52,25,546.00,35.46,510.54,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
78,surplus_payout,Growth Partners,25,Payment to Investment26 (surplus),31.25,514.75,4.21,510.54,Surplus ≥ 31.25; pool −31.25 and surplus −31.25
79,subscription,Stable Yield,10,Investment53,25,539.75,10.04,529.71,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
80,subscription,Capital Shield,6,Investment54,25,564.75,16.21,548.54,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
81,subscription,Growth Partners,25,Investment55,25,589.75,20.79,568.96,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
82,payout,Balanced Growth,15,Payment to Investment27,28.75,561.00,20.79,540.21,Triad payout 28.75 USDT (15%); head 27 unlocked by 54 and 55; fund Balanced Growth
83,subscription,Growth Partners,25,Investment56,25,586.00,25.37,560.63,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
84,subscription,Balanced Growth,15,Investment57,25,611.00,30.79,580.21,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
85,payout,Growth Partners,25,Payment to Investment28,31.25,579.75,30.79,548.96,Triad payout 31.25 USDT (25%); head 28 unlocked by 56 and 57; fund Growth Partners
86,subscription,Growth Partners,25,Investment58,25,604.75,35.37,569.38,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
87,surplus_payout,Aggressive Alpha,40,Payment to Investment29 (surplus),35,569.75,0.37,569.38,Surplus ≥ 35; pool −35 and surplus −35
88,subscription,Aggressive Alpha,40,Investment59,25,594.75,3.70,591.05,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
89,subscription,Aggressive Alpha,40,Investment60,25,619.75,7.03,612.72,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
90,subscription,Capital Shield,6,Investment61,25,644.75,13.20,631.55,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
91,payout,Balanced Growth,15,Payment to Investment30,28.75,616.00,13.20,602.80,Triad payout 28.75 USDT (15%); head 30 unlocked by 60 and 61; fund Balanced Growth
92,subscription,Aggressive Alpha,40,Investment62,25,641.00,16.53,624.47,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
93,subscription,Stable Yield,10,Investment63,25,666.00,22.36,643.64,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
94,payout,Capital Shield,6,Payment to Investment31,26.5,639.50,22.36,617.14,Triad payout 26.5 USDT (6%); head 31 unlocked by 62 and 63; fund Capital Shield
95,subscription,Growth Partners,25,Investment64,25,664.50,26.94,637.56,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
96,subscription,Aggressive Alpha,40,Investment65,25,689.50,30.27,659.23,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
97,surplus_payout,Balanced Growth,15,Payment to Investment32 (surplus),28.75,660.75,1.52,659.23,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
98,subscription,Growth Partners,25,Investment66,25,685.75,6.10,679.65,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
99,subscription,Stable Yield,10,Investment67,25,710.75,11.93,698.82,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
100,payout,Growth Partners,25,Payment to Investment33,31.25,679.50,11.93,667.57,Triad payout 31.25 USDT (25%); head 33 unlocked by 66 and 67; fund Growth Partners
101,subscription,Aggressive Alpha,40,Investment68,25,704.50,15.26,689.24,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
102,subscription,Balanced Growth,15,Investment69,25,729.50,20.68,708.82,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
103,payout,Aggressive Alpha,40,Payment to Investment34,35,694.50,20.68,673.82,Triad payout 35 USDT (40%); head 34 unlocked by 68 and 69; fund Aggressive Alpha
104,subscription,Growth Partners,25,Investment70,25,719.50,25.26,694.24,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
105,subscription,Growth Partners,25,Investment71,25,744.50,29.84,714.66,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
106,surplus_payout,Stable Yield,10,Payment to Investment35 (surplus),27.5,717.00,2.34,714.66,Surplus ≥ 27.5; pool −27.5 and surplus −27.5
107,subscription,Growth Partners,25,Investment72,25,742.00,6.92,735.08,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
108,subscription,Balanced Growth,15,Investment73,25,767.00,12.34,754.66,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
109,payout,Aggressive Alpha,40,Payment to Investment36,35,732.00,12.34,719.66,Triad payout 35 USDT (40%); head 36 unlocked by 72 and 73; fund Aggressive Alpha
110,subscription,Growth Partners,25,Investment74,25,757.00,16.92,740.08,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
111,subscription,Balanced Growth,15,Investment75,25,782.00,22.34,759.66,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
112,payout,Capital Shield,6,Payment to Investment37,26.5,755.50,22.34,733.16,Triad payout 26.5 USDT (6%); head 37 unlocked by 74 and 75; fund Capital Shield
113,subscription,Stable Yield,10,Investment76,25,780.50,28.17,752.33,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
114,surplus_payout,Capital Shield,6,Payment to Investment38 (surplus),26.5,754.00,1.67,752.33,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
115,subscription,Growth Partners,25,Investment77,25,779.00,6.25,772.75,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
116,subscription,Stable Yield,10,Investment78,25,804.00,12.08,791.92,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
117,subscription,Aggressive Alpha,40,Investment79,25,829.00,15.41,813.59,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
118,payout,Aggressive Alpha,40,Payment to Investment39,35,794.00,15.41,778.59,Triad payout 35 USDT (40%); head 39 unlocked by 78 and 79; fund Aggressive Alpha
119,subscription,Growth Partners,25,Investment80,25,819.00,19.99,799.01,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
120,subscription,Aggressive Alpha,40,Investment81,25,844.00,23.32,820.68,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
121,payout,Aggressive Alpha,40,Payment to Investment40,35,809.00,23.32,785.68,Triad payout 35 USDT (40%); head 40 unlocked by 80 and 81; fund Aggressive Alpha
122,subscription,Growth Partners,25,Investment82,25,834.00,27.90,806.10,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
123,surplus_payout,Capital Shield,6,Payment to Investment41 (surplus),26.5,807.50,1.40,806.10,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
124,subscription,Balanced Growth,15,Investment83,25,832.50,6.82,825.68,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
125,subscription,Capital Shield,6,Investment84,25,857.50,12.99,844.51,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
126,subscription,Stable Yield,10,Investment85,25,882.50,18.82,863.68,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
127,payout,Capital Shield,6,Payment to Investment42,26.5,856.00,18.82,837.18,Triad payout 26.5 USDT (6%); head 42 unlocked by 84 and 85; fund Capital Shield
128,subscription,Aggressive Alpha,40,Investment86,25,881.00,22.15,858.85,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
129,subscription,Capital Shield,6,Investment87,25,906.00,28.32,877.68,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
130,surplus_payout,Stable Yield,10,Payment to Investment43 (surplus),27.5,878.50,0.82,877.68,Surplus ≥ 27.5; pool −27.5 and surplus −27.5
131,subscription,Growth Partners,25,Investment88,25,903.50,5.40,898.10,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
132,subscription,Balanced Growth,15,Investment89,25,928.50,10.82,917.68,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
133,payout,Balanced Growth,15,Payment to Investment44,28.75,899.75,10.82,888.93,Triad payout 28.75 USDT (15%); head 44 unlocked by 88 and 89; fund Balanced Growth
134,subscription,Growth Partners,25,Investment90,25,924.75,15.40,909.35,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
135,subscription,Balanced Growth,15,Investment91,25,949.75,20.82,928.93,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
136,payout,Aggressive Alpha,40,Payment to Investment45,35,914.75,20.82,893.93,Triad payout 35 USDT (40%); head 45 unlocked by 90 and 91; fund Aggressive Alpha
137,subscription,Aggressive Alpha,40,Investment92,25,939.75,24.15,915.60,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
138,subscription,Balanced Growth,15,Investment93,25,964.75,29.57,935.18,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
139,surplus_payout,Capital Shield,6,Payment to Investment46 (surplus),26.5,938.25,3.07,935.18,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
140,subscription,Stable Yield,10,Investment94,25,963.25,8.90,954.35,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
141,subscription,Capital Shield,6,Investment95,25,988.25,15.07,973.18,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
142,payout,Stable Yield,10,Payment to Investment47,27.5,960.75,15.07,945.68,Triad payout 27.5 USDT (10%); head 47 unlocked by 94 and 95; fund Stable Yield
143,subscription,Aggressive Alpha,40,Investment96,25,985.75,18.40,967.35,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
144,subscription,Balanced Growth,15,Investment97,25,1010.75,23.82,986.93,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
145,payout,Growth Partners,25,Payment to Investment48,31.25,979.50,23.82,955.68,Triad payout 31.25 USDT (25%); head 48 unlocked by 96 and 97; fund Growth Partners
146,subscription,Stable Yield,10,Investment98,25,1004.50,29.65,974.85,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
147,surplus_payout,Stable Yield,10,Payment to Investment49 (surplus),27.5,977.00,2.15,974.85,Surplus ≥ 27.5; pool −27.5 and surplus −27.5
148,subscription,Aggressive Alpha,40,Investment99,25,1002.00,5.48,996.52,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
149,subscription,Balanced Growth,15,Investment100,25,1027.00,10.90,1016.10,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
150,subscription,Capital Shield,6,Investment101,25,1052.00,17.07,1034.93,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
151,payout,Stable Yield,10,Payment to Investment50,27.5,1024.50,17.07,1007.43,Triad payout 27.5 USDT (10%); head 50 unlocked by 100 and 101; fund Stable Yield
152,subscription,Aggressive Alpha,40,Investment102,25,1049.50,20.40,1029.10,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
153,subscription,Growth Partners,25,Investment103,25,1074.50,24.98,1049.52,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
154,payout,Stable Yield,10,Payment to Investment51,27.5,1047.00,24.98,1022.02,Triad payout 27.5 USDT (10%); head 51 unlocked by 102 and 103; fund Stable Yield
155,subscription,Growth Partners,25,Investment104,25,1072.00,29.56,1042.44,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
156,surplus_payout,Stable Yield,10,Payment to Investment52 (surplus),27.5,1044.50,2.06,1042.44,Surplus ≥ 27.5; pool −27.5 and surplus −27.5
157,subscription,Aggressive Alpha,40,Investment105,25,1069.50,5.39,1064.11,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
158,subscription,Capital Shield,6,Investment106,25,1094.50,11.56,1082.94,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
159,subscription,Growth Partners,25,Investment107,25,1119.50,16.14,1103.36,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
160,payout,Stable Yield,10,Payment to Investment53,27.5,1092.00,16.14,1075.86,Triad payout 27.5 USDT (10%); head 53 unlocked by 106 and 107; fund Stable Yield
161,subscription,Aggressive Alpha,40,Investment108,25,1117.00,19.47,1097.53,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
162,subscription,Growth Partners,25,Investment109,25,1142.00,24.05,1117.95,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
163,payout,Capital Shield,6,Payment to Investment54,26.5,1115.50,24.05,1091.45,Triad payout 26.5 USDT (6%); head 54 unlocked by 108 and 109; fund Capital Shield
164,subscription,Growth Partners,25,Investment110,25,1140.50,28.63,1111.87,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
165,subscription,Growth Partners,25,Investment111,25,1165.50,33.21,1132.29,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
166,surplus_payout,Growth Partners,25,Payment to Investment55 (surplus),31.25,1134.25,1.96,1132.29,Surplus ≥ 31.25; pool −31.25 and surplus −31.25
167,subscription,Aggressive Alpha,40,Investment112,25,1159.25,5.29,1153.96,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
168,subscription,Balanced Growth,15,Investment113,25,1184.25,10.71,1173.54,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
169,payout,Growth Partners,25,Payment to Investment56,31.25,1153.00,10.71,1142.29,Triad payout 31.25 USDT (25%); head 56 unlocked by 112 and 113; fund Growth Partners
170,subscription,Aggressive Alpha,40,Investment114,25,1178.00,14.04,1163.96,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
171,subscription,Aggressive Alpha,40,Investment115,25,1203.00,17.37,1185.63,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
172,payout,Balanced Growth,15,Payment to Investment57,28.75,1174.25,17.37,1156.88,Triad payout 28.75 USDT (15%); head 57 unlocked by 114 and 115; fund Balanced Growth
173,subscription,Growth Partners,25,Investment116,25,1199.25,21.95,1177.30,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
174,subscription,Balanced Growth,15,Investment117,25,1224.25,27.37,1196.88,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
175,payout,Growth Partners,25,Payment to Investment58,31.25,1193.00,27.37,1165.63,Triad payout 31.25 USDT (25%); head 58 unlocked by 116 and 117; fund Growth Partners
176,subscription,Growth Partners,25,Investment118,25,1218.00,31.95,1186.05,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
177,subscription,Balanced Growth,15,Investment119,25,1243.00,37.37,1205.63,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
178,surplus_payout,Aggressive Alpha,40,Payment to Investment59 (surplus),35,1208.00,2.37,1205.63,Surplus ≥ 35; pool −35 and surplus −35
179,subscription,Aggressive Alpha,40,Investment120,25,1233.00,5.70,1227.30,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
180,subscription,Capital Shield,6,Investment121,25,1258.00,11.87,1246.13,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
181,payout,Aggressive Alpha,40,Payment to Investment60,35,1223.00,11.87,1211.13,Triad payout 35 USDT (40%); head 60 unlocked by 120 and 121; fund Aggressive Alpha
182,subscription,Growth Partners,25,Investment122,25,1248.00,16.45,1231.55,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
183,subscription,Balanced Growth,15,Investment123,25,1273.00,21.87,1251.13,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
184,payout,Capital Shield,6,Payment to Investment61,26.5,1246.50,21.87,1224.63,Triad payout 26.5 USDT (6%); head 61 unlocked by 122 and 123; fund Capital Shield
185,subscription,Stable Yield,10,Investment124,25,1271.50,27.70,1243.80,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
186,subscription,Stable Yield,10,Investment125,25,1296.50,33.53,1262.97,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
187,payout,Aggressive Alpha,40,Payment to Investment62,35,1261.50,33.53,1227.97,Triad payout 35 USDT (40%); head 62 unlocked by 124 and 125; fund Aggressive Alpha
