step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,notes
30,subscription,Capital Shield,6,Investment21,25,286.50,23.57,262.93,+6.17 surplus on subscribe (triad surplus 18.5÷3)
31,payout,Capital Shield,6,Payment to Investment10,26.5,260.00,23.57,236.43,Triad payout 26.5 USDT (6% return); head 10 unlocked by 20 and 21; no surplus on payout
32,subscription,Capital Shield,6,Investment22,25,285.00,29.74,255.26,+6.17 surplus on subscribe (triad surplus 18.5÷3)
33,surplus_payout,Capital Shield,6,Payment to Investment11 (surplus),26.5,258.50,3.24,255.26,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
34,subscription,Capital Shield,6,Investment23,25,283.50,9.41,274.09,+6.17 surplus on subscribe (triad surplus 18.5÷3)
35,subscription,Capital Shield,6,Investment24,25,308.50,15.58,292.92,+6.17 surplus on subscribe (triad surplus 18.5÷3)
36,subscription,Capital Shield,6,Investment25,25,333.50,21.75,311.75,+6.17 surplus on subscribe (triad surplus 18.5÷3)
37,payout,Capital Shield,6,Payment to Investment12,26.5,307.00,21.75,285.25,Triad payout 26.5 USDT (6% return); head 12 unlocked by 24 and 25; no surplus on payout
38,subscription,Capital Shield,6,Investment26,25,332.00,27.92,304.08,+6.17 surplus on subscribe (triad surplus 18.5÷3)
39,surplus_payout,Capital Shield,6,Payment to Investment13 (surplus),26.5,305.50,1.42,304.08,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
40,subscription,Capital Shield,6,Investment27,25,330.50,7.59,322.91,+6.17 surplus on subscribe (triad surplus 18.5÷3)
41,subscription,Capital Shield,6,Investment28,25,355.50,13.76,341.74,+6.17 surplus on subscribe (triad surplus 18.5÷3)
42,subscription,Capital Shield,6,Investment29,25,380.50,19.93,360.57,+6.17 surplus on subscribe (triad surplus 18.5÷3)
43,payout,Capital Shield,6,Payment to Investment14,26.5,354.00,19.93,334.07,Triad payout 26.5 USDT (6% return); head 14 unlocked by 28 and 29; no surplus on payout
44,subscription,Capital Shield,6,Investment30,25,379.00,26.10,352.90,+6.17 surplus on subscribe (triad surplus 18.5÷3)
45,subscription,Capital Shield,6,Investment31,25,404.00,32.27,371.73,+6.17 surplus on subscribe (triad surplus 18.5÷3)
46,surplus_payout,Capital Shield,6,Payment to Investment15 (surplus),26.5,377.50,5.77,371.73,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
47,subscription,Capital Shield,6,Investment32,25,402.50,11.94,390.56,+6.17 surplus on subscribe (triad surplus 18.5÷3)
48,subscription,Capital Shield,6,Investment33,25,427.50,18.11,409.39,+6.17 surplus on subscribe (triad surplus 18.5÷3)
49,payout,Capital Shield,6,Payment to Investment16,26.5,401.00,18.11,382.89,Triad payout 26.5 USDT (6% return); head 16 unlocked by 32 and 33; no surplus on payout
50,subscription,Capital Shield,6,Investment34,25,426.00,24.28,401.72,+6.17 surplus on subscribe (triad surplus 18.5÷3)
51,subscription,Capital Shield,6,Investment35,25,451.00,30.45,420.55,+6.17 surplus on subscribe (triad surplus 18.5÷3)
52,surplus_payout,Capital Shield,6,Payment to Investment17 (surplus),26.5,424.50,3.95,420.55,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
53,subscription,Capital Shield,6,Investment36,25,449.50,10.12,439.38,+6.17 surplus on subscribe (triad surplus 18.5÷3)
54,subscription,Capital Shield,6,Investment37,25,474.50,16.29,458.21,+6.17 surplus on subscribe (triad surplus 18.5÷3)
55,payout,Capital Shield,6,Payment to Investment18,26.5,448.00,16.29,431.71,Triad payout 26.5 USDT (6% return); head 18 unlocked by 36 and 37; no surplus on payout
56,subscription,Capital Shield,6,Investment38,25,473.00,22.46,450.54,+6.17 surplus on subscribe (triad surplus 18.5÷3)
57,subscription,Capital Shield,6,Investment39,25,498.00,28.63,469.37,+6.17 surplus on subscribe (triad surplus 18.5÷3)
58,surplus_payout,Capital Shield,6,Payment to Investment19 (surplus),26.5,471.50,2.13,469.37,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
59,subscription,Capital Shield,6,Investment40,25,496.50,8.30,488.20,+6.17 surplus on subscribe (triad surplus 18.5÷3)
60,subscription,Capital Shield,6,Investment41,25,521.50,14.47,507.03,+6.17 surplus on subscribe (triad surplus 18.5÷3)
61,payout,Capital Shield,6,Payment to Investment20,26.5,495.00,14.47,480.53,Triad payout 26.5 USDT (6% return); head 20 unlocked by 40 and 41; no surplus on payout
62,subscription,Capital Shield,6,Investment42,25,520.00,20.64,499.36,+6.17 surplus on subscribe (triad surplus 18.5÷3)
63,subscription,Capital Shield,6,Investment43,25,545.00,26.81,518.19,+6.17 surplus on subscribe (triad surplus 18.5÷3)
64,surplus_payout,Capital Shield,6,Payment to Investment21 (surplus),26.5,518.50,0.31,518.19,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
65,subscription,Capital Shield,6,Investment44,25,543.50,6.48,537.02,+6.17 surplus on subscribe (triad surplus 18.5÷3)
66,subscription,Capital Shield,6,Investment45,25,568.50,12.65,555.85,+6.17 surplus on subscribe (triad surplus 18.5÷3)
67,payout,Capital Shield,6,Payment to Investment22,26.5,542.00,12.65,529.35,Triad payout 26.5 USDT (6% return); head 22 unlocked by 44 and 45; no surplus on payout
68,subscription,Capital Shield,6,Investment46,25,567.00,18.82,548.18,+6.17 surplus on subscribe (triad surplus 18.5÷3)
69,subscription,Capital Shield,6,Investment47,25,592.00,24.99,567.01,+6.17 surplus on subscribe (triad surplus 18.5÷3)
70,payout,Capital Shield,6,Payment to Investment23,26.5,565.50,24.99,540.51,Triad payout 26.5 USDT (6% return); head 23 unlocked by 46 and 47; no surplus on payout
71,subscription,Capital Shield,6,Investment48,25,590.50,31.16,559.34,+6.17 surplus on subscribe (triad surplus 18.5÷3)
72,surplus_payout,Capital Shield,6,Payment to Investment24 (surplus),26.5,564.00,4.66,559.34,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
73,subscription,Capital Shield,6,Investment49,25,589.00,10.83,578.17,+6.17 surplus on subscribe (triad surplus 18.5÷3)
74,subscription,Capital Shield,6,Investment50,25,614.00,17.00,597.00,+6.17 surplus on subscribe (triad surplus 18.5÷3)
75,subscription,Capital Shield,6,Investment51,25,639.00,23.17,615.83,+6.17 surplus on subscribe (triad surplus 18.5÷3)
76,payout,Capital Shield,6,Payment to Investment25,26.5,612.50,23.17,589.33,Triad payout 26.5 USDT (6% return); head 25 unlocked by 50 and 51; no surplus on payout
77,subscription,Capital Shield,6,Investment52,25,637.50,29.34,608.16,+6.17 surplus on subscribe (triad surplus 18.5÷3)
78,surplus_payout,Capital Shield,6,Payment to Investment26 (surplus),26.5,611.00,2.84,608.16,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
79,subscription,Capital Shield,6,Investment53,25,636.00,9.01,626.99,+6.17 surplus on subscribe (triad surplus 18.5÷3)
80,subscription,Capital Shield,6,Investment54,25,661.00,15.18,645.82,+6.17 surplus on subscribe (triad surplus 18.5÷3)
81,subscription,Capital Shield,6,Investment55,25,686.00,21.35,664.65,+6.17 surplus on subscribe (triad surplus 18.5÷3)
82,payout,Capital Shield,6,Payment to Investment27,26.5,659.50,21.35,638.15,Triad payout 26.5 USDT (6% return); head 27 unlocked by 54 and 55; no surplus on payout
83,subscription,Capital Shield,6,Investment56,25,684.50,27.52,656.98,+6.17 surplus on subscribe (triad surplus 18.5÷3)
84,surplus_payout,Capital Shield,6,Payment to Investment28 (surplus),26.5,658.00,1.02,656.98,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
85,subscription,Capital Shield,6,Investment57,25,683.00,7.19,675.81,+6.17 surplus on subscribe (triad surplus 18.5÷3)
86,subscription,Capital Shield,6,Investment58,25,708.00,13.36,694.64,+6.17 surplus on subscribe (triad surplus 18.5÷3)
87,subscription,Capital Shield,6,Investment59,25,733.00,19.53,713.47,+6.17 surplus on subscribe (triad surplus 18.5÷3)
88,payout,Capital Shield,6,Payment to Investment29,26.5,706.50,19.53,686.97,Triad payout 26.5 USDT (6% return); head 29 unlocked by 58 and 59; no surplus on payout
89,subscription,Capital Shield,6,Investment60,25,731.50,25.70,705.80,+6.17 surplus on subscribe (triad surplus 18.5÷3)
90,subscription,Capital Shield,6,Investment61,25,756.50,31.87,724.63,+6.17 surplus on subscribe (triad surplus 18.5÷3)
91,surplus_payout,Capital Shield,6,Payment to Investment30 (surplus),26.5,730.00,5.37,724.63,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
92,subscription,Capital Shield,6,Investment62,25,755.00,11.54,743.46,+6.17 surplus on subscribe (triad surplus 18.5÷3)
93,subscription,Capital Shield,6,Investment63,25,780.00,17.71,762.29,+6.17 surplus on subscribe (triad surplus 18.5÷3)
94,payout,Capital Shield,6,Payment to Investment31,26.5,753.50,17.71,735.79,Triad payout 26.5 USDT (6% return); head 31 unlocked by 62 and 63; no surplus on payout
95,subscription,Capital Shield,6,Investment64,25,778.50,23.88,754.62,+6.17 surplus on subscribe (triad surplus 18.5÷3)
96,subscription,Capital Shield,6,Investment65,25,803.50,30.05,773.45,+6.17 surplus on subscribe (triad surplus 18.5÷3)
97,surplus_payout,Capital Shield,6,Payment to Investment32 (surplus),26.5,777.00,3.55,773.45,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
98,subscription,Capital Shield,6,Investment66,25,802.00,9.72,792.28,+6.17 surplus on subscribe (triad surplus 18.5÷3)
99,subscription,Capital Shield,6,Investment67,25,827.00,15.89,811.11,+6.17 surplus on subscribe (triad surplus 18.5÷3)
100,payout,Capital Shield,6,Payment to Investment33,26.5,800.50,15.89,784.61,Triad payout 26.5 USDT (6% return); head 33 unlocked by 66 and 67; no surplus on payout
101,subscription,Capital Shield,6,Investment68,25,825.50,22.06,803.44,+6.17 surplus on subscribe (triad surplus 18.5÷3)
102,subscription,Capital Shield,6,Investment69,25,850.50,28.23,822.27,+6.17 surplus on subscribe (triad surplus 18.5÷3)
103,surplus_payout,Capital Shield,6,Payment to Investment34 (surplus),26.5,824.00,1.73,822.27,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
104,subscription,Capital Shield,6,Investment70,25,849.00,7.90,841.10,+6.17 surplus on subscribe (triad surplus 18.5÷3)
105,subscription,Capital Shield,6,Investment71,25,874.00,14.07,859.93,+6.17 surplus on subscribe (triad surplus 18.5÷3)
106,payout,Capital Shield,6,Payment to Investment35,26.5,847.50,14.07,833.43,Triad payout 26.5 USDT (6% return); head 35 unlocked by 70 and 71; no surplus on payout
107,subscription,Capital Shield,6,Investment72,25,872.50,20.24,852.26,+6.17 surplus on subscribe (triad surplus 18.5÷3)
108,subscription,Capital Shield,6,Investment73,25,897.50,26.41,871.09,+6.17 surplus on subscribe (triad surplus 18.5÷3)
109,payout,Capital Shield,6,Payment to Investment36,26.5,871.00,26.41,844.59,Triad payout 26.5 USDT (6% return); head 36 unlocked by 72 and 73; no surplus on payout
110,subscription,Capital Shield,6,Investment74,25,896.00,32.58,863.42,+6.17 surplus on subscribe (triad surplus 18.5÷3)
111,surplus_payout,Capital Shield,6,Payment to Investment37 (surplus),26.5,869.50,6.08,863.42,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
112,subscription,Capital Shield,6,Investment75,25,894.50,12.25,882.25,+6.17 surplus on subscribe (triad surplus 18.5÷3)
113,subscription,Capital Shield,6,Investment76,25,919.50,18.42,901.08,+6.17 surplus on subscribe (triad surplus 18.5÷3)
114,subscription,Capital Shield,6,Investment77,25,944.50,24.59,919.91,+6.17 surplus on subscribe (triad surplus 18.5÷3)
115,payout,Capital Shield,6,Payment to Investment38,26.5,918.00,24.59,893.41,Triad payout 26.5 USDT (6% return); head 38 unlocked by 76 and 77; no surplus on payout
116,subscription,Capital Shield,6,Investment78,25,943.00,30.76,912.24,+6.17 surplus on subscribe (triad surplus 18.5÷3)
117,surplus_payout,Capital Shield,6,Payment to Investment39 (surplus),26.5,916.50,4.26,912.24,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
118,subscription,Capital Shield,6,Investment79,25,941.50,10.43,931.07,+6.17 surplus on subscribe (triad surplus 18.5÷3)
119,subscription,Capital Shield,6,Investment80,25,966.50,16.60,949.90,+6.17 surplus on subscribe (triad surplus 18.5÷3)
120,subscription,Capital Shield,6,Investment81,25,991.50,22.77,968.73,+6.17 surplus on subscribe (triad surplus 18.5÷3)
121,payout,Capital Shield,6,Payment to Investment40,26.5,965.00,22.77,942.23,Triad payout 26.5 USDT (6% return); head 40 unlocked by 80 and 81; no surplus on payout
122,subscription,Capital Shield,6,Investment82,25,990.00,28.94,961.06,+6.17 surplus on subscribe (triad surplus 18.5÷3)
123,surplus_payout,Capital Shield,6,Payment to Investment41 (surplus),26.5,963.50,2.44,961.06,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
124,subscription,Capital Shield,6,Investment83,25,988.50,8.61,979.89,+6.17 surplus on subscribe (triad surplus 18.5÷3)
125,subscription,Capital Shield,6,Investment84,25,1013.50,14.78,998.72,+6.17 surplus on subscribe (triad surplus 18.5÷3)
126,subscription,Capital Shield,6,Investment85,25,1038.50,20.95,1017.55,+6.17 surplus on subscribe (triad surplus 18.5÷3)
127,payout,Capital Shield,6,Payment to Investment42,26.5,1012.00,20.95,991.05,Triad payout 26.5 USDT (6% return); head 42 unlocked by 84 and 85; no surplus on payout
128,subscription,Capital Shield,6,Investment86,25,1037.00,27.12,1009.88,+6.17 surplus on subscribe (triad surplus 18.5÷3)
129,surplus_payout,Capital Shield,6,Payment to Investment43 (surplus),26.5,1010.50,0.62,1009.88,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
130,subscription,Capital Shield,6,Investment87,25,1035.50,6.79,1028.71,+6.17 surplus on subscribe (triad surplus 18.5÷3)
131,subscription,Capital Shield,6,Investment88,25,1060.50,12.96,1047.54,+6.17 surplus on subscribe (triad surplus 18.5÷3)
132,subscription,Capital Shield,6,Investment89,25,1085.50,19.13,1066.37,+6.17 surplus on subscribe (triad surplus 18.5÷3)
133,payout,Capital Shield,6,Payment to Investment44,26.5,1059.00,19.13,1039.87,Triad payout 26.5 USDT (6% return); head 44 unlocked by 88 and 89; no surplus on payout
134,subscription,Capital Shield,6,Investment90,25,1084.00,25.30,1058.70,+6.17 surplus on subscribe (triad surplus 18.5÷3)
135,subscription,Capital Shield,6,Investment91,25,1109.00,31.47,1077.53,+6.17 surplus on subscribe (triad surplus 18.5÷3)
136,surplus_payout,Capital Shield,6,Payment to Investment45 (surplus),26.5,1082.50,4.97,1077.53,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
137,subscription,Capital Shield,6,Investment92,25,1107.50,11.14,1096.36,+6.17 surplus on subscribe (triad surplus 18.5÷3)
138,subscription,Capital Shield,6,Investment93,25,1132.50,17.31,1115.19,+6.17 surplus on subscribe (triad surplus 18.5÷3)
139,payout,Capital Shield,6,Payment to Investment46,26.5,1106.00,17.31,1088.69,Triad payout 26.5 USDT (6% return); head 46 unlocked by 92 and 93; no surplus on payout
140,subscription,Capital Shield,6,Investment94,25,1131.00,23.48,1107.52,+6.17 surplus on subscribe (triad surplus 18.5÷3)
141,subscription,Capital Shield,6,Investment95,25,1156.00,29.65,1126.35,+6.17 surplus on subscribe (triad surplus 18.5÷3)
142,surplus_payout,Capital Shield,6,Payment to Investment47 (surplus),26.5,1129.50,3.15,1126.35,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
143,subscription,Capital Shield,6,Investment96,25,1154.50,9.32,1145.18,+6.17 surplus on subscribe (triad surplus 18.5÷3)
144,subscription,Capital Shield,6,Investment97,25,1179.50,15.49,1164.01,+6.17 surplus on subscribe (triad surplus 18.5÷3)
145,payout,Capital Shield,6,Payment to Investment48,26.5,1153.00,15.49,1137.51,Triad payout 26.5 USDT (6% return); head 48 unlocked by 96 and 97; no surplus on payout
146,subscription,Capital Shield,6,Investment98,25,1178.00,21.66,1156.34,+6.17 surplus on subscribe (triad surplus 18.5÷3)
147,subscription,Capital Shield,6,Investment99,25,1203.00,27.83,1175.17,+6.17 surplus on subscribe (triad surplus 18.5÷3)
148,surplus_payout,Capital Shield,6,Payment to Investment49 (surplus),26.5,1176.50,1.33,1175.17,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
149,subscription,Capital Shield,6,Investment100,25,1201.50,7.50,1194.00,+6.17 surplus on subscribe (triad surplus 18.5÷3); Investment50 needs 100 and 101 for triad unlock
