step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,trx_burned_cumulative,trx_cost_usdt_cumulative,notes
49,subscription,Aggressive Alpha,40,Investment30,50,414.00,36.68,377.32,680,170.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
50,subscription,Stable Yield,10,Investment31,50,464.00,48.34,415.66,690,172.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
51,payout,Balanced Growth,15,Investment19,57.5,406.50,48.34,358.16,710,177.50,"Triad payout 57.5 USDT (15%); unlocked by Investment30 and Investment31; +2×10 TRX (payout+withdraw)"
52,subscription,Stable Yield,10,Investment32,50,456.50,60.00,396.50,720,180.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
53,surplus_payout,Capital Shield,6,Investment24,53,403.50,7.00,396.50,740,185.00,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
54,subscription,Growth Partners,25,Investment33,50,453.50,16.16,437.34,750,187.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
55,payout,Growth Partners,25,Investment20,62.5,391.00,16.16,374.84,770,192.50,"Triad payout 62.5 USDT (25%); unlocked by Investment32 and Investment33; +2×10 TRX (payout+withdraw)"
56,subscription,Aggressive Alpha,40,Investment34,50,441.00,22.82,418.18,780,195.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
57,subscription,Capital Shield,6,Investment35,50,491.00,35.15,455.85,790,197.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
58,payout,Growth Partners,25,Investment21,62.5,428.50,35.15,393.35,810,202.50,"Triad payout 62.5 USDT (25%); unlocked by Investment34 and Investment35; +2×10 TRX (payout+withdraw)"
59,subscription,Capital Shield,6,Investment36,50,478.50,47.48,431.02,820,205.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
60,subscription,Growth Partners,25,Investment37,50,528.50,56.64,471.86,830,207.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
61,surplus_payout,Stable Yield,10,Investment26,55,473.50,1.64,471.86,850,212.50,"Surplus ≥ 55; pool and surplus −55; +2×10 TRX (payout+withdraw)"
62,payout,Growth Partners,25,Investment23,62.5,411.00,1.64,409.36,870,217.50,"Triad payout 62.5 USDT (25%); unlocked by Investment36 and Investment37; +2×10 TRX (payout+withdraw)"
63,subscription,Growth Partners,25,Investment38,50,461.00,10.80,450.20,880,220.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
64,subscription,Aggressive Alpha,40,Investment39,50,511.00,17.46,493.54,890,222.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
65,payout,Growth Partners,25,Investment25,62.5,448.50,17.46,431.04,910,227.50,"Triad payout 62.5 USDT (25%); unlocked by Investment38 and Investment39; +2×10 TRX (payout+withdraw)"
66,subscription,Aggressive Alpha,40,Investment40,50,498.50,24.12,474.38,920,230.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
67,subscription,Stable Yield,10,Investment41,50,548.50,35.78,512.72,930,232.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
68,payout,Aggressive Alpha,40,Investment27,70,478.50,35.78,442.72,950,237.50,"Triad payout 70 USDT (40%); unlocked by Investment40 and Investment41; +2×10 TRX (payout+withdraw)"
69,subscription,Growth Partners,25,Investment42,50,528.50,44.94,483.56,960,240.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
70,subscription,Aggressive Alpha,40,Investment43,50,578.50,51.60,526.90,970,242.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
71,payout,Balanced Growth,15,Investment28,57.5,521.00,51.60,469.40,990,247.50,"Triad payout 57.5 USDT (15%); unlocked by Investment42 and Investment43; +2×10 TRX (payout+withdraw)"
72,subscription,Capital Shield,6,Investment44,50,571.00,63.93,507.07,1000,250.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
73,surplus_payout,Growth Partners,25,Investment29,62.5,508.50,1.43,507.07,1020,255.00,"Surplus ≥ 62.5; pool and surplus −62.5; +2×10 TRX (payout+withdraw)"
74,subscription,Growth Partners,25,Investment45,50,558.50,10.59,547.91,1030,257.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
75,payout,Aggressive Alpha,40,Investment30,70,488.50,10.59,477.91,1050,262.50,"Triad payout 70 USDT (40%); unlocked by Investment44 and Investment45; +2×10 TRX (payout+withdraw)"
76,subscription,Capital Shield,6,Investment46,50,538.50,22.92,515.58,1060,265.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
77,subscription,Aggressive Alpha,40,Investment47,50,588.50,29.58,558.92,1070,267.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
78,payout,Stable Yield,10,Investment31,55,533.50,29.58,503.92,1090,272.50,"Triad payout 55 USDT (10%); unlocked by Investment46 and Investment47; +2×10 TRX (payout+withdraw)"
79,subscription,Balanced Growth,15,Investment48,50,583.50,40.41,543.09,1100,275.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
80,subscription,Aggressive Alpha,40,Investment49,50,633.50,47.07,586.43,1110,277.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
81,payout,Stable Yield,10,Investment32,55,578.50,47.07,531.43,1130,282.50,"Triad payout 55 USDT (10%); unlocked by Investment48 and Investment49; +2×10 TRX (payout+withdraw)"
82,subscription,Balanced Growth,15,Investment50,50,628.50,57.90,570.60,1140,285.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
83,surplus_payout,Capital Shield,6,Investment35,53,575.50,4.90,570.60,1160,290.00,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
84,subscription,Capital Shield,6,Investment51,50,625.50,17.23,608.27,1170,292.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
85,payout,Growth Partners,25,Investment33,62.5,563.00,17.23,545.77,1190,297.50,"Triad payout 62.5 USDT (25%); unlocked by Investment50 and Investment51; +2×10 TRX (payout+withdraw)"
86,subscription,Aggressive Alpha,40,Investment52,50,613.00,23.89,589.11,1200,300.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
87,subscription,Aggressive Alpha,40,Investment53,50,663.00,30.55,632.45,1210,302.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
88,payout,Aggressive Alpha,40,Investment34,70,593.00,30.55,562.45,1230,307.50,"Triad payout 70 USDT (40%); unlocked by Investment52 and Investment53; +2×10 TRX (payout+withdraw)"
89,subscription,Stable Yield,10,Investment54,50,643.00,42.21,600.79,1240,310.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
90,subscription,Balanced Growth,15,Investment55,50,693.00,53.04,639.96,1250,312.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
91,surplus_payout,Capital Shield,6,Investment36,53,640.00,0.04,639.96,1270,317.50,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
92,payout,Growth Partners,25,Investment37,62.5,577.50,0.04,577.46,1290,322.50,"Triad payout 62.5 USDT (25%); unlocked by Investment54 and Investment55; +2×10 TRX (payout+withdraw)"
93,subscription,Capital Shield,6,Investment56,50,627.50,12.37,615.13,1300,325.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
94,subscription,Stable Yield,10,Investment57,50,677.50,24.03,653.47,1310,327.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
95,payout,Growth Partners,25,Investment38,62.5,615.00,24.03,590.97,1330,332.50,"Triad payout 62.5 USDT (25%); unlocked by Investment56 and Investment57; +2×10 TRX (payout+withdraw)"
96,subscription,Stable Yield,10,Investment58,50,665.00,35.69,629.31,1340,335.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
97,subscription,Growth Partners,25,Investment59,50,715.00,44.85,670.15,1350,337.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
98,payout,Aggressive Alpha,40,Investment39,70,645.00,44.85,600.15,1370,342.50,"Triad payout 70 USDT (40%); unlocked by Investment58 and Investment59; +2×10 TRX (payout+withdraw)"
99,subscription,Growth Partners,25,Investment60,50,695.00,54.01,640.99,1380,345.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
100,surplus_payout,Capital Shield,6,Investment44,53,642.00,1.01,640.99,1400,350.00,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
101,subscription,Capital Shield,6,Investment61,50,692.00,13.34,678.66,1410,352.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
102,payout,Aggressive Alpha,40,Investment40,70,622.00,13.34,608.66,1430,357.50,"Triad payout 70 USDT (40%); unlocked by Investment60 and Investment61; +2×10 TRX (payout+withdraw)"
103,subscription,Capital Shield,6,Investment62,50,672.00,25.67,646.33,1440,360.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
104,subscription,Stable Yield,10,Investment63,50,722.00,37.33,684.67,1450,362.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
105,payout,Stable Yield,10,Investment41,55,667.00,37.33,629.67,1470,367.50,"Triad payout 55 USDT (10%); unlocked by Investment62 and Investment63; +2×10 TRX (payout+withdraw)"
106,subscription,Growth Partners,25,Investment64,50,717.00,46.49,670.51,1480,370.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
107,subscription,Capital Shield,6,Investment65,50,767.00,58.82,708.18,1490,372.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
108,surplus_payout,Capital Shield,6,Investment46,53,714.00,5.82,708.18,1510,377.50,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
109,payout,Growth Partners,25,Investment42,62.5,651.50,5.82,645.68,1530,382.50,"Triad payout 62.5 USDT (25%); unlocked by Investment64 and Investment65; +2×10 TRX (payout+withdraw)"
110,subscription,Growth Partners,25,Investment66,50,701.50,14.98,686.52,1540,385.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
111,subscription,Stable Yield,10,Investment67,50,751.50,26.64,724.86,1550,387.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
112,payout,Aggressive Alpha,40,Investment43,70,681.50,26.64,654.86,1570,392.50,"Triad payout 70 USDT (40%); unlocked by Investment66 and Investment67; +2×10 TRX (payout+withdraw)"
113,subscription,Capital Shield,6,Investment68,50,731.50,38.97,692.53,1580,395.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
114,subscription,Aggressive Alpha,40,Investment69,50,781.50,45.63,735.87,1590,397.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
115,payout,Growth Partners,25,Investment45,62.5,719.00,45.63,673.37,1610,402.50,"Triad payout 62.5 USDT (25%); unlocked by Investment68 and Investment69; +2×10 TRX (payout+withdraw)"
116,subscription,Aggressive Alpha,40,Investment70,50,769.00,52.29,716.71,1620,405.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
117,subscription,Aggressive Alpha,40,Investment71,50,819.00,58.95,760.05,1630,407.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
118,surplus_payout,Balanced Growth,15,Investment48,57.5,761.50,1.45,760.05,1650,412.50,"Surplus ≥ 57.5; pool and surplus −57.5; +2×10 TRX (payout+withdraw)"
119,payout,Aggressive Alpha,40,Investment47,70,691.50,1.45,690.05,1670,417.50,"Triad payout 70 USDT (40%); unlocked by Investment70 and Investment71; +2×10 TRX (payout+withdraw)"
120,subscription,Balanced Growth,15,Investment72,50,741.50,12.28,729.22,1680,420.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
121,subscription,Growth Partners,25,Investment73,50,791.50,21.44,770.06,1690,422.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
122,payout,Aggressive Alpha,40,Investment49,70,721.50,21.44,700.06,1710,427.50,"Triad payout 70 USDT (40%); unlocked by Investment72 and Investment73; +2×10 TRX (payout+withdraw)"
123,subscription,Growth Partners,25,Investment74,50,771.50,30.60,740.90,1720,430.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
124,subscription,Capital Shield,6,Investment75,50,821.50,42.93,778.57,1730,432.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
125,payout,Balanced Growth,15,Investment50,57.5,764.00,42.93,721.07,1750,437.50,"Triad payout 57.5 USDT (15%); unlocked by Investment74 and Investment75; +2×10 TRX (payout+withdraw)"
126,subscription,Balanced Growth,15,Investment76,50,814.00,53.76,760.24,1760,440.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
127,surplus_payout,Capital Shield,6,Investment51,53,761.00,0.76,760.24,1780,445.00,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
128,subscription,Stable Yield,10,Investment77,50,811.00,12.42,798.58,1790,447.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
129,payout,Aggressive Alpha,40,Investment52,70,741.00,12.42,728.58,1810,452.50,"Triad payout 70 USDT (40%); unlocked by Investment76 and Investment77; +2×10 TRX (payout+withdraw)"
130,subscription,Stable Yield,10,Investment78,50,791.00,24.08,766.92,1820,455.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
131,subscription,Growth Partners,25,Investment79,50,841.00,33.24,807.76,1830,457.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
132,payout,Aggressive Alpha,40,Investment53,70,771.00,33.24,737.76,1850,462.50,"Triad payout 70 USDT (40%); unlocked by Investment78 and Investment79; +2×10 TRX (payout+withdraw)"
133,subscription,Stable Yield,10,Investment80,50,821.00,44.90,776.10,1860,465.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
134,subscription,Balanced Growth,15,Investment81,50,871.00,55.73,815.27,1870,467.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
135,surplus_payout,Stable Yield,10,Investment54,55,816.00,0.73,815.27,1890,472.50,"Surplus ≥ 55; pool and surplus −55; +2×10 TRX (payout+withdraw)"
136,payout,Balanced Growth,15,Investment55,57.5,758.50,0.73,757.77,1910,477.50,"Triad payout 57.5 USDT (15%); unlocked by Investment80 and Investment81; +2×10 TRX (payout+withdraw)"
137,subscription,Balanced Growth,15,Investment82,50,808.50,11.56,796.94,1920,480.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
138,subscription,Growth Partners,25,Investment83,50,858.50,20.72,837.78,1930,482.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
139,payout,Capital Shield,6,Investment56,53,805.50,20.72,784.78,1950,487.50,"Triad payout 53 USDT (6%); unlocked by Investment82 and Investment83; +2×10 TRX (payout+withdraw)"
140,subscription,Aggressive Alpha,40,Investment84,50,855.50,27.38,828.12,1960,490.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
141,subscription,Stable Yield,10,Investment85,50,905.50,39.04,866.46,1970,492.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
142,payout,Stable Yield,10,Investment57,55,850.50,39.04,811.46,1990,497.50,"Triad payout 55 USDT (10%); unlocked by Investment84 and Investment85; +2×10 TRX (payout+withdraw)"
143,subscription,Balanced Growth,15,Investment86,50,900.50,49.87,850.63,2000,500.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
144,subscription,Balanced Growth,15,Investment87,50,950.50,60.70,889.80,2010,502.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
145,surplus_payout,Stable Yield,10,Investment58,55,895.50,5.70,889.80,2030,507.50,"Surplus ≥ 55; pool and surplus −55; +2×10 TRX (payout+withdraw)"
146,payout,Growth Partners,25,Investment59,62.5,833.00,5.70,827.30,2050,512.50,"Triad payout 62.5 USDT (25%); unlocked by Investment86 and Investment87; +2×10 TRX (payout+withdraw)"
147,subscription,Capital Shield,6,Investment88,50,883.00,18.03,864.97,2060,515.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
148,subscription,Stable Yield,10,Investment89,50,933.00,29.69,903.31,2070,517.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
149,payout,Growth Partners,25,Investment60,62.5,870.50,29.69,840.81,2090,522.50,"Triad payout 62.5 USDT (25%); unlocked by Investment88 and Investment89; +2×10 TRX (payout+withdraw)"
150,subscription,Balanced Growth,15,Investment90,50,920.50,40.52,879.98,2100,525.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
151,subscription,Capital Shield,6,Investment91,50,970.50,52.85,917.65,2110,527.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
152,payout,Capital Shield,6,Investment61,53,917.50,52.85,864.65,2130,532.50,"Triad payout 53 USDT (6%); unlocked by Investment90 and Investment91; +2×10 TRX (payout+withdraw)"
153,subscription,Capital Shield,6,Investment92,50,967.50,65.18,902.32,2140,535.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
154,surplus_payout,Capital Shield,6,Investment62,53,914.50,12.18,902.32,2160,540.00,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
155,subscription,Growth Partners,25,Investment93,50,964.50,21.34,943.16,2170,542.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
156,payout,Stable Yield,10,Investment63,55,909.50,21.34,888.16,2190,547.50,"Triad payout 55 USDT (10%); unlocked by Investment92 and Investment93; +2×10 TRX (payout+withdraw)"
157,subscription,Stable Yield,10,Investment94,50,959.50,33.00,926.50,2200,550.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
158,subscription,Stable Yield,10,Investment95,50,1009.50,44.66,964.84,2210,552.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
159,payout,Growth Partners,25,Investment64,62.5,947.00,44.66,902.34,2230,557.50,"Triad payout 62.5 USDT (25%); unlocked by Investment94 and Investment95; +2×10 TRX (payout+withdraw)"
160,subscription,Stable Yield,10,Investment96,50,997.00,56.32,940.68,2240,560.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
161,surplus_payout,Capital Shield,6,Investment65,53,944.00,3.32,940.68,2260,565.00,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
162,subscription,Balanced Growth,15,Investment97,50,994.00,14.15,979.85,2270,567.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
163,payout,Growth Partners,25,Investment66,62.5,931.50,14.15,917.35,2290,572.50,"Triad payout 62.5 USDT (25%); unlocked by Investment96 and Investment97; +2×10 TRX (payout+withdraw)"
164,subscription,Balanced Growth,15,Investment98,50,981.50,24.98,956.52,2300,575.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
165,subscription,Capital Shield,6,Investment99,50,1031.50,37.31,994.19,2310,577.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
166,payout,Stable Yield,10,Investment67,55,976.50,37.31,939.19,2330,582.50,"Triad payout 55 USDT (10%); unlocked by Investment98 and Investment99; +2×10 TRX (payout+withdraw)"
167,subscription,Capital Shield,6,Investment100,50,1026.50,49.64,976.86,2340,585.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
168,subscription,Growth Partners,25,Investment101,50,1076.50,58.80,1017.70,2350,587.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
169,surplus_payout,Capital Shield,6,Investment68,53,1023.50,5.80,1017.70,2370,592.50,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
