step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,notes
19,payout,Aggressive Alpha,40,Payment to Investment6,35,115.00,8.29,106.71,Triad payout 35 USDT (40% return); head 6 unlocked by 12 and 13; no surplus on payout
20,subscription,Aggressive Alpha,40,Investment14,25,140.00,11.62,128.38,+3.33 surplus on subscribe (triad surplus 10÷3)
21,subscription,Aggressive Alpha,40,Investment15,25,165.00,14.95,150.05,+3.33 surplus on subscribe (triad surplus 10÷3)
22,payout,Aggressive Alpha,40,Payment to Investment7,35,130.00,14.95,115.05,Triad payout 35 USDT (40% return); head 7 unlocked by 14 and 15; no surplus on payout
23,subscription,Aggressive Alpha,40,Investment16,25,155.00,18.28,136.72,+3.33 surplus on subscribe (triad surplus 10÷3)
24,subscription,Aggressive Alpha,40,Investment17,25,180.00,21.61,158.39,+3.33 surplus on subscribe (triad surplus 10÷3)
25,payout,Aggressive Alpha,40,Payment to Investment8,35,145.00,21.61,123.39,Triad payout 35 USDT (40% return); head 8 unlocked by 16 and 17; no surplus on payout
26,subscription,Aggressive Alpha,40,Investment18,25,170.00,24.94,145.06,+3.33 surplus on subscribe (triad surplus 10÷3)
27,subscription,Aggressive Alpha,40,Investment19,25,195.00,28.27,166.73,+3.33 surplus on subscribe (triad surplus 10÷3)
28,payout,Aggressive Alpha,40,Payment to Investment9,35,160.00,28.27,131.73,Triad payout 35 USDT (40% return); head 9 unlocked by 18 and 19; no surplus on payout
29,subscription,Aggressive Alpha,40,Investment20,25,185.00,31.60,153.40,+3.33 surplus on subscribe (triad surplus 10÷3)
30,subscription,Aggressive Alpha,40,Investment21,25,210.00,34.93,175.07,+3.33 surplus on subscribe (triad surplus 10÷3)
31,payout,Aggressive Alpha,40,Payment to Investment10,35,175.00,34.93,140.07,Triad payout 35 USDT (40% return); head 10 unlocked by 20 and 21; no surplus on payout
32,subscription,Aggressive Alpha,40,Investment22,25,200.00,38.26,161.74,+3.33 surplus on subscribe (triad surplus 10÷3)
33,surplus_payout,Aggressive Alpha,40,Payment to Investment11 (surplus),35,165.00,3.26,161.74,Surplus ≥ 35; pool −35 and surplus −35
34,subscription,Aggressive Alpha,40,Investment23,25,190.00,6.59,183.41,+3.33 surplus on subscribe (triad surplus 10÷3)
35,subscription,Aggressive Alpha,40,Investment24,25,215.00,9.92,205.08,+3.33 surplus on subscribe (triad surplus 10÷3)
36,subscription,Aggressive Alpha,40,Investment25,25,240.00,13.25,226.75,+3.33 surplus on subscribe (triad surplus 10÷3)
37,payout,Aggressive Alpha,40,Payment to Investment12,35,205.00,13.25,191.75,Triad payout 35 USDT (40% return); head 12 unlocked by 24 and 25; no surplus on payout
38,subscription,Aggressive Alpha,40,Investment26,25,230.00,16.58,213.42,+3.33 surplus on subscribe (triad surplus 10÷3)
39,subscription,Aggressive Alpha,40,Investment27,25,255.00,19.91,235.09,+3.33 surplus on subscribe (triad surplus 10÷3)
40,payout,Aggressive Alpha,40,Payment to Investment13,35,220.00,19.91,200.09,Triad payout 35 USDT (40% return); head 13 unlocked by 26 and 27; no surplus on payout
41,subscription,Aggressive Alpha,40,Investment28,25,245.00,23.24,221.76,+3.33 surplus on subscribe (triad surplus 10÷3)
42,subscription,Aggressive Alpha,40,Investment29,25,270.00,26.57,243.43,+3.33 surplus on subscribe (triad surplus 10÷3)
43,payout,Aggressive Alpha,40,Payment to Investment14,35,235.00,26.57,208.43,Triad payout 35 USDT (40% return); head 14 unlocked by 28 and 29; no surplus on payout
44,subscription,Aggressive Alpha,40,Investment30,25,260.00,29.90,230.10,+3.33 surplus on subscribe (triad surplus 10÷3)
45,subscription,Aggressive Alpha,40,Investment31,25,285.00,33.23,251.77,+3.33 surplus on subscribe (triad surplus 10÷3)
46,payout,Aggressive Alpha,40,Payment to Investment15,35,250.00,33.23,216.77,Triad payout 35 USDT (40% return); head 15 unlocked by 30 and 31; no surplus on payout
47,subscription,Aggressive Alpha,40,Investment32,25,275.00,36.56,238.44,+3.33 surplus on subscribe (triad surplus 10÷3)
48,surplus_payout,Aggressive Alpha,40,Payment to Investment16 (surplus),35,240.00,1.56,238.44,Surplus ≥ 35; pool −35 and surplus −35
49,subscription,Aggressive Alpha,40,Investment33,25,265.00,4.89,260.11,+3.33 surplus on subscribe (triad surplus 10÷3)
50,subscription,Aggressive Alpha,40,Investment34,25,290.00,8.22,281.78,+3.33 surplus on subscribe (triad surplus 10÷3)
51,subscription,Aggressive Alpha,40,Investment35,25,315.00,11.55,303.45,+3.33 surplus on subscribe (triad surplus 10÷3)
52,payout,Aggressive Alpha,40,Payment to Investment17,35,280.00,11.55,268.45,Triad payout 35 USDT (40% return); head 17 unlocked by 34 and 35; no surplus on payout
53,subscription,Aggressive Alpha,40,Investment36,25,305.00,14.88,290.12,+3.33 surplus on subscribe (triad surplus 10÷3)
54,subscription,Aggressive Alpha,40,Investment37,25,330.00,18.21,311.79,+3.33 surplus on subscribe (triad surplus 10÷3)
55,payout,Aggressive Alpha,40,Payment to Investment18,35,295.00,18.21,276.79,Triad payout 35 USDT (40% return); head 18 unlocked by 36 and 37; no surplus on payout
56,subscription,Aggressive Alpha,40,Investment38,25,320.00,21.54,298.46,+3.33 surplus on subscribe (triad surplus 10÷3)
57,subscription,Aggressive Alpha,40,Investment39,25,345.00,24.87,320.13,+3.33 surplus on subscribe (triad surplus 10÷3)
58,payout,Aggressive Alpha,40,Payment to Investment19,35,310.00,24.87,285.13,Triad payout 35 USDT (40% return); head 19 unlocked by 38 and 39; no surplus on payout
59,subscription,Aggressive Alpha,40,Investment40,25,335.00,28.20,306.80,+3.33 surplus on subscribe (triad surplus 10÷3)
60,subscription,Aggressive Alpha,40,Investment41,25,360.00,31.53,328.47,+3.33 surplus on subscribe (triad surplus 10÷3)
61,payout,Aggressive Alpha,40,Payment to Investment20,35,325.00,31.53,293.47,Triad payout 35 USDT (40% return); head 20 unlocked by 40 and 41; no surplus on payout
62,subscription,Aggressive Alpha,40,Investment42,25,350.00,34.86,315.14,+3.33 surplus on subscribe (triad surplus 10÷3)
63,subscription,Aggressive Alpha,40,Investment43,25,375.00,38.19,336.81,+3.33 surplus on subscribe (triad surplus 10÷3)
64,surplus_payout,Aggressive Alpha,40,Payment to Investment21 (surplus),35,340.00,3.19,336.81,Surplus ≥ 35; pool −35 and surplus −35
65,subscription,Aggressive Alpha,40,Investment44,25,365.00,6.52,358.48,+3.33 surplus on subscribe (triad surplus 10÷3)
66,subscription,Aggressive Alpha,40,Investment45,25,390.00,9.85,380.15,+3.33 surplus on subscribe (triad surplus 10÷3)
67,payout,Aggressive Alpha,40,Payment to Investment22,35,355.00,9.85,345.15,Triad payout 35 USDT (40% return); head 22 unlocked by 44 and 45; no surplus on payout
68,subscription,Aggressive Alpha,40,Investment46,25,380.00,13.18,366.82,+3.33 surplus on subscribe (triad surplus 10÷3)
69,subscription,Aggressive Alpha,40,Investment47,25,405.00,16.51,388.49,+3.33 surplus on subscribe (triad surplus 10÷3)
70,payout,Aggressive Alpha,40,Payment to Investment23,35,370.00,16.51,353.49,Triad payout 35 USDT (40% return); head 23 unlocked by 46 and 47; no surplus on payout
71,subscription,Aggressive Alpha,40,Investment48,25,395.00,19.84,375.16,+3.33 surplus on subscribe (triad surplus 10÷3)
72,subscription,Aggressive Alpha,40,Investment49,25,420.00,23.17,396.83,+3.33 surplus on subscribe (triad surplus 10÷3)
73,payout,Aggressive Alpha,40,Payment to Investment24,35,385.00,23.17,361.83,Triad payout 35 USDT (40% return); head 24 unlocked by 48 and 49; no surplus on payout
74,subscription,Aggressive Alpha,40,Investment50,25,410.00,26.50,383.50,+3.33 surplus on subscribe (triad surplus 10÷3)
75,subscription,Aggressive Alpha,40,Investment51,25,435.00,29.83,405.17,+3.33 surplus on subscribe (triad surplus 10÷3)
76,payout,Aggressive Alpha,40,Payment to Investment25,35,400.00,29.83,370.17,Triad payout 35 USDT (40% return); head 25 unlocked by 50 and 51; no surplus on payout
77,subscription,Aggressive Alpha,40,Investment52,25,425.00,33.16,391.84,+3.33 surplus on subscribe (triad surplus 10÷3)
78,subscription,Aggressive Alpha,40,Investment53,25,450.00,36.49,413.51,+3.33 surplus on subscribe (triad surplus 10÷3)
79,surplus_payout,Aggressive Alpha,40,Payment to Investment26 (surplus),35,415.00,1.49,413.51,Surplus ≥ 35; pool −35 and surplus −35
80,subscription,Aggressive Alpha,40,Investment54,25,440.00,4.82,435.18,+3.33 surplus on subscribe (triad surplus 10÷3)
81,subscription,Aggressive Alpha,40,Investment55,25,465.00,8.15,456.85,+3.33 surplus on subscribe (triad surplus 10÷3)
82,payout,Aggressive Alpha,40,Payment to Investment27,35,430.00,8.15,421.85,Triad payout 35 USDT (40% return); head 27 unlocked by 54 and 55; no surplus on payout
83,subscription,Aggressive Alpha,40,Investment56,25,455.00,11.48,443.52,+3.33 surplus on subscribe (triad surplus 10÷3)
84,subscription,Aggressive Alpha,40,Investment57,25,480.00,14.81,465.19,+3.33 surplus on subscribe (triad surplus 10÷3)
85,payout,Aggressive Alpha,40,Payment to Investment28,35,445.00,14.81,430.19,Triad payout 35 USDT (40% return); head 28 unlocked by 56 and 57; no surplus on payout
86,subscription,Aggressive Alpha,40,Investment58,25,470.00,18.14,451.86,+3.33 surplus on subscribe (triad surplus 10÷3)
87,subscription,Aggressive Alpha,40,Investment59,25,495.00,21.47,473.53,+3.33 surplus on subscribe (triad surplus 10÷3)
88,payout,Aggressive Alpha,40,Payment to Investment29,35,460.00,21.47,438.53,Triad payout 35 USDT (40% return); head 29 unlocked by 58 and 59; no surplus on payout
89,subscription,Aggressive Alpha,40,Investment60,25,485.00,24.80,460.20,+3.33 surplus on subscribe (triad surplus 10÷3)
90,subscription,Aggressive Alpha,40,Investment61,25,510.00,28.13,481.87,+3.33 surplus on subscribe (triad surplus 10÷3)
91,payout,Aggressive Alpha,40,Payment to Investment30,35,475.00,28.13,446.87,Triad payout 35 USDT (40% return); head 30 unlocked by 60 and 61; no surplus on payout
92,subscription,Aggressive Alpha,40,Investment62,25,500.00,31.46,468.54,+3.33 surplus on subscribe (triad surplus 10÷3)
93,subscription,Aggressive Alpha,40,Investment63,25,525.00,34.79,490.21,+3.33 surplus on subscribe (triad surplus 10÷3)
94,payout,Aggressive Alpha,40,Payment to Investment31,35,490.00,34.79,455.21,Triad payout 35 USDT (40% return); head 31 unlocked by 62 and 63; no surplus on payout
95,subscription,Aggressive Alpha,40,Investment64,25,515.00,38.12,476.88,+3.33 surplus on subscribe (triad surplus 10÷3)
96,surplus_payout,Aggressive Alpha,40,Payment to Investment32 (surplus),35,480.00,3.12,476.88,Surplus ≥ 35; pool −35 and surplus −35
97,subscription,Aggressive Alpha,40,Investment65,25,505.00,6.45,498.55,+3.33 surplus on subscribe (triad surplus 10÷3)
98,subscription,Aggressive Alpha,40,Investment66,25,530.00,9.78,520.22,+3.33 surplus on subscribe (triad surplus 10÷3)
99,subscription,Aggressive Alpha,40,Investment67,25,555.00,13.11,541.89,+3.33 surplus on subscribe (triad surplus 10÷3)
100,payout,Aggressive Alpha,40,Payment to Investment33,35,520.00,13.11,506.89,Triad payout 35 USDT (40% return); head 33 unlocked by 66 and 67; no surplus on payout
101,subscription,Aggressive Alpha,40,Investment68,25,545.00,16.44,528.56,+3.33 surplus on subscribe (triad surplus 10÷3)
102,subscription,Aggressive Alpha,40,Investment69,25,570.00,19.77,550.23,+3.33 surplus on subscribe (triad surplus 10÷3)
103,payout,Aggressive Alpha,40,Payment to Investment34,35,535.00,19.77,515.23,Triad payout 35 USDT (40% return); head 34 unlocked by 68 and 69; no surplus on payout
104,subscription,Aggressive Alpha,40,Investment70,25,560.00,23.10,536.90,+3.33 surplus on subscribe (triad surplus 10÷3)
105,subscription,Aggressive Alpha,40,Investment71,25,585.00,26.43,558.57,+3.33 surplus on subscribe (triad surplus 10÷3)
106,payout,Aggressive Alpha,40,Payment to Investment35,35,550.00,26.43,523.57,Triad payout 35 USDT (40% return); head 35 unlocked by 70 and 71; no surplus on payout
107,subscription,Aggressive Alpha,40,Investment72,25,575.00,29.76,545.24,+3.33 surplus on subscribe (triad surplus 10÷3)
108,subscription,Aggressive Alpha,40,Investment73,25,600.00,33.09,566.91,+3.33 surplus on subscribe (triad surplus 10÷3)
109,payout,Aggressive Alpha,40,Payment to Investment36,35,565.00,33.09,531.91,Triad payout 35 USDT (40% return); head 36 unlocked by 72 and 73; no surplus on payout
110,subscription,Aggressive Alpha,40,Investment74,25,590.00,36.42,553.58,+3.33 surplus on subscribe (triad surplus 10÷3)
111,surplus_payout,Aggressive Alpha,40,Payment to Investment37 (surplus),35,555.00,1.42,553.58,Surplus ≥ 35; pool −35 and surplus −35
112,subscription,Aggressive Alpha,40,Investment75,25,580.00,4.75,575.25,+3.33 surplus on subscribe (triad surplus 10÷3)
113,subscription,Aggressive Alpha,40,Investment76,25,605.00,8.08,596.92,+3.33 surplus on subscribe (triad surplus 10÷3)
114,subscription,Aggressive Alpha,40,Investment77,25,630.00,11.41,618.59,+3.33 surplus on subscribe (triad surplus 10÷3)
115,payout,Aggressive Alpha,40,Payment to Investment38,35,595.00,11.41,583.59,Triad payout 35 USDT (40% return); head 38 unlocked by 76 and 77; no surplus on payout
116,subscription,Aggressive Alpha,40,Investment78,25,620.00,14.74,605.26,+3.33 surplus on subscribe (triad surplus 10÷3)
117,subscription,Aggressive Alpha,40,Investment79,25,645.00,18.07,626.93,+3.33 surplus on subscribe (triad surplus 10÷3)
118,payout,Aggressive Alpha,40,Payment to Investment39,35,610.00,18.07,591.93,Triad payout 35 USDT (40% return); head 39 unlocked by 78 and 79; no surplus on payout
119,subscription,Aggressive Alpha,40,Investment80,25,635.00,21.40,613.60,+3.33 surplus on subscribe (triad surplus 10÷3)
120,subscription,Aggressive Alpha,40,Investment81,25,660.00,24.73,635.27,+3.33 surplus on subscribe (triad surplus 10÷3)
121,payout,Aggressive Alpha,40,Payment to Investment40,35,625.00,24.73,600.27,Triad payout 35 USDT (40% return); head 40 unlocked by 80 and 81; no surplus on payout
122,subscription,Aggressive Alpha,40,Investment82,25,650.00,28.06,621.94,+3.33 surplus on subscribe (triad surplus 10÷3)
123,subscription,Aggressive Alpha,40,Investment83,25,675.00,31.39,643.61,+3.33 surplus on subscribe (triad surplus 10÷3)
124,payout,Aggressive Alpha,40,Payment to Investment41,35,640.00,31.39,608.61,Triad payout 35 USDT (40% return); head 41 unlocked by 82 and 83; no surplus on payout
125,subscription,Aggressive Alpha,40,Investment84,25,665.00,34.72,630.28,+3.33 surplus on subscribe (triad surplus 10÷3)
126,subscription,Aggressive Alpha,40,Investment85,25,690.00,38.05,651.95,+3.33 surplus on subscribe (triad surplus 10÷3)
127,surplus_payout,Aggressive Alpha,40,Payment to Investment42 (surplus),35,655.00,3.05,651.95,Surplus ≥ 35; pool −35 and surplus −35
128,subscription,Aggressive Alpha,40,Investment86,25,680.00,6.38,673.62,+3.33 surplus on subscribe (triad surplus 10÷3)
129,subscription,Aggressive Alpha,40,Investment87,25,705.00,9.71,695.29,+3.33 surplus on subscribe (triad surplus 10÷3)
130,payout,Aggressive Alpha,40,Payment to Investment43,35,670.00,9.71,660.29,Triad payout 35 USDT (40% return); head 43 unlocked by 86 and 87; no surplus on payout
131,subscription,Aggressive Alpha,40,Investment88,25,695.00,13.04,681.96,+3.33 surplus on subscribe (triad surplus 10÷3)
132,subscription,Aggressive Alpha,40,Investment89,25,720.00,16.37,703.63,+3.33 surplus on subscribe (triad surplus 10÷3)
133,payout,Aggressive Alpha,40,Payment to Investment44,35,685.00,16.37,668.63,Triad payout 35 USDT (40% return); head 44 unlocked by 88 and 89; no surplus on payout
134,subscription,Aggressive Alpha,40,Investment90,25,710.00,19.70,690.30,+3.33 surplus on subscribe (triad surplus 10÷3)
135,subscription,Aggressive Alpha,40,Investment91,25,735.00,23.03,711.97,+3.33 surplus on subscribe (triad surplus 10÷3)
136,payout,Aggressive Alpha,40,Payment to Investment45,35,700.00,23.03,676.97,Triad payout 35 USDT (40% return); head 45 unlocked by 90 and 91; no surplus on payout
137,subscription,Aggressive Alpha,40,Investment92,25,725.00,26.36,698.64,+3.33 surplus on subscribe (triad surplus 10÷3)
138,subscription,Aggressive Alpha,40,Investment93,25,750.00,29.69,720.31,+3.33 surplus on subscribe (triad surplus 10÷3)
139,payout,Aggressive Alpha,40,Payment to Investment46,35,715.00,29.69,685.31,Triad payout 35 USDT (40% return); head 46 unlocked by 92 and 93; no surplus on payout
140,subscription,Aggressive Alpha,40,Investment94,25,740.00,33.02,706.98,+3.33 surplus on subscribe (triad surplus 10÷3)
141,subscription,Aggressive Alpha,40,Investment95,25,765.00,36.35,728.65,+3.33 surplus on subscribe (triad surplus 10÷3)
142,surplus_payout,Aggressive Alpha,40,Payment to Investment47 (surplus),35,730.00,1.35,728.65,Surplus ≥ 35; pool −35 and surplus −35
143,subscription,Aggressive Alpha,40,Investment96,25,755.00,4.68,750.32,+3.33 surplus on subscribe (triad surplus 10÷3)
144,subscription,Aggressive Alpha,40,Investment97,25,780.00,8.01,771.99,+3.33 surplus on subscribe (triad surplus 10÷3)
145,payout,Aggressive Alpha,40,Payment to Investment48,35,745.00,8.01,736.99,Triad payout 35 USDT (40% return); head 48 unlocked by 96 and 97; no surplus on payout
146,subscription,Aggressive Alpha,40,Investment98,25,770.00,11.34,758.66,+3.33 surplus on subscribe (triad surplus 10÷3)
147,subscription,Aggressive Alpha,40,Investment99,25,795.00,14.67,780.33,+3.33 surplus on subscribe (triad surplus 10÷3)
148,payout,Aggressive Alpha,40,Payment to Investment49,35,760.00,14.67,745.33,Triad payout 35 USDT (40% return); head 49 unlocked by 98 and 99; no surplus on payout
149,subscription,Aggressive Alpha,40,Investment100,25,785.00,18.00,767.00,+3.33 surplus on subscribe (triad surplus 10÷3); Investment50 needs 100 and 101 for triad unlock
