step,event,fund,return_percent,label,amount_ars,pool_available,treasury_surplus,protected_withdrawable,mp_fee_in_cumulative,mp_fee_out_user_cumulative,iibb_cumulative,ganancias_cumulative,platform_cost_cumulative,notes
23,surplus_payout,Stable Yield,10,Investment7,110000,557000.00,15750.00,541250.00,90000.00,56580.00,52500.00,115687.50,258187.50,"Surplus ≥ 110000; pool and surplus −110000; user MP out ~6600 ARS (6%, absorbed by user)"
24,subscription,Growth Partners,25,Investment16,100000,657000.00,44500.00,612500.00,96000.00,56580.00,56000.00,122875.00,274875.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
25,subscription,Aggressive Alpha,40,Investment17,100000,757000.00,69500.00,687500.00,102000.00,56580.00,59500.00,129125.00,290625.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
26,payout,Stable Yield,10,Investment8,110000,647000.00,69500.00,577500.00,102000.00,63180.00,59500.00,129125.00,290625.00,"Cohort payout 110000 ARS (10%); unlocked by Investment15, Investment16, Investment17 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
27,subscription,Capital Shield,6,Investment18,100000,747000.00,103000.00,644000.00,108000.00,63180.00,63000.00,137500.00,308500.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
28,subscription,Aggressive Alpha,40,Investment19,100000,847000.00,128000.00,719000.00,114000.00,63180.00,66500.00,143750.00,324250.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
29,surplus_payout,Balanced Growth,15,Investment10,115000,732000.00,13000.00,719000.00,114000.00,70080.00,66500.00,143750.00,324250.00,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
30,subscription,Balanced Growth,15,Investment20,100000,832000.00,44250.00,787750.00,120000.00,70080.00,70000.00,151562.50,341562.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
31,payout,Stable Yield,10,Investment11,110000,722000.00,44250.00,677750.00,120000.00,76680.00,70000.00,151562.50,341562.50,"Cohort payout 110000 ARS (10%); unlocked by Investment18, Investment19, Investment20 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
32,subscription,Aggressive Alpha,40,Investment21,100000,822000.00,69250.00,752750.00,126000.00,76680.00,73500.00,157812.50,357312.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
33,subscription,Growth Partners,25,Investment22,100000,922000.00,98000.00,824000.00,132000.00,76680.00,77000.00,165000.00,374000.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
34,subscription,Aggressive Alpha,40,Investment23,100000,1022000.00,123000.00,899000.00,138000.00,76680.00,80500.00,171250.00,389750.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
35,surplus_payout,Balanced Growth,15,Investment12,115000,907000.00,8000.00,899000.00,138000.00,83580.00,80500.00,171250.00,389750.00,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
36,payout,Capital Shield,6,Investment13,106000,801000.00,8000.00,793000.00,138000.00,89940.00,80500.00,171250.00,389750.00,"Cohort payout 106000 ARS (6%); unlocked by Investment21, Investment22, Investment23 (3 unlockers); user MP out ~6360 ARS (6%, absorbed by user)"
37,subscription,Capital Shield,6,Investment24,100000,901000.00,41500.00,859500.00,144000.00,89940.00,84000.00,179625.00,407625.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
38,subscription,Growth Partners,25,Investment25,100000,1001000.00,70250.00,930750.00,150000.00,89940.00,87500.00,186812.50,424312.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
39,subscription,Balanced Growth,15,Investment26,100000,1101000.00,101500.00,999500.00,156000.00,89940.00,91000.00,194625.00,441625.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
40,payout,Stable Yield,10,Investment14,110000,991000.00,101500.00,889500.00,156000.00,96540.00,91000.00,194625.00,441625.00,"Cohort payout 110000 ARS (10%); unlocked by Investment24, Investment25, Investment26 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
41,subscription,Aggressive Alpha,40,Investment27,100000,1091000.00,126500.00,964500.00,162000.00,96540.00,94500.00,200875.00,457375.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
42,surplus_payout,Growth Partners,25,Investment16,125000,966000.00,1500.00,964500.00,162000.00,104040.00,94500.00,200875.00,457375.00,"Surplus ≥ 125000; pool and surplus −125000; user MP out ~7500 ARS (6%, absorbed by user)"
43,subscription,Growth Partners,25,Investment28,100000,1066000.00,30250.00,1035750.00,168000.00,104040.00,98000.00,208062.50,474062.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
44,subscription,Balanced Growth,15,Investment29,100000,1166000.00,61500.00,1104500.00,174000.00,104040.00,101500.00,215875.00,491375.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
45,payout,Aggressive Alpha,40,Investment15,140000,1026000.00,61500.00,964500.00,174000.00,112440.00,101500.00,215875.00,491375.00,"Cohort payout 140000 ARS (40%); unlocked by Investment27, Investment28, Investment29 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
46,subscription,Stable Yield,10,Investment30,100000,1126000.00,94000.00,1032000.00,180000.00,112440.00,105000.00,224000.00,509000.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
47,subscription,Aggressive Alpha,40,Investment31,100000,1226000.00,119000.00,1107000.00,186000.00,112440.00,108500.00,230250.00,524750.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
48,surplus_payout,Capital Shield,6,Investment18,106000,1120000.00,13000.00,1107000.00,186000.00,118800.00,108500.00,230250.00,524750.00,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
49,subscription,Balanced Growth,15,Investment32,100000,1220000.00,44250.00,1175750.00,192000.00,118800.00,112000.00,238062.50,542062.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
50,payout,Aggressive Alpha,40,Investment17,140000,1080000.00,44250.00,1035750.00,192000.00,127200.00,112000.00,238062.50,542062.50,"Cohort payout 140000 ARS (40%); unlocked by Investment30, Investment31, Investment32 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
51,subscription,Capital Shield,6,Investment33,100000,1180000.00,77750.00,1102250.00,198000.00,127200.00,115500.00,246437.50,559937.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
52,subscription,Growth Partners,25,Investment34,100000,1280000.00,106500.00,1173500.00,204000.00,127200.00,119000.00,253625.00,576625.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
53,surplus_payout,Capital Shield,6,Investment24,106000,1174000.00,500.00,1173500.00,204000.00,133560.00,119000.00,253625.00,576625.00,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
54,subscription,Stable Yield,10,Investment35,100000,1274000.00,33000.00,1241000.00,210000.00,133560.00,122500.00,261750.00,594250.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
55,payout,Aggressive Alpha,40,Investment19,140000,1134000.00,33000.00,1101000.00,210000.00,141960.00,122500.00,261750.00,594250.00,"Cohort payout 140000 ARS (40%); unlocked by Investment33, Investment34, Investment35 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
56,subscription,Aggressive Alpha,40,Investment36,100000,1234000.00,58000.00,1176000.00,216000.00,141960.00,126000.00,268000.00,610000.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
57,subscription,Stable Yield,10,Investment37,100000,1334000.00,90500.00,1243500.00,222000.00,141960.00,129500.00,276125.00,627625.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
58,subscription,Growth Partners,25,Investment38,100000,1434000.00,119250.00,1314750.00,228000.00,141960.00,133000.00,283312.50,644312.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
59,surplus_payout,Balanced Growth,15,Investment20,115000,1319000.00,4250.00,1314750.00,228000.00,148860.00,133000.00,283312.50,644312.50,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
60,payout,Aggressive Alpha,40,Investment21,140000,1179000.00,4250.00,1174750.00,228000.00,157260.00,133000.00,283312.50,644312.50,"Cohort payout 140000 ARS (40%); unlocked by Investment36, Investment37, Investment38 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
61,subscription,Balanced Growth,15,Investment39,100000,1279000.00,35500.00,1243500.00,234000.00,157260.00,136500.00,291125.00,661625.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
62,subscription,Stable Yield,10,Investment40,100000,1379000.00,68000.00,1311000.00,240000.00,157260.00,140000.00,299250.00,679250.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
63,subscription,Balanced Growth,15,Investment41,100000,1479000.00,99250.00,1379750.00,246000.00,157260.00,143500.00,307062.50,696562.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
64,payout,Growth Partners,25,Investment22,125000,1354000.00,99250.00,1254750.00,246000.00,164760.00,143500.00,307062.50,696562.50,"Cohort payout 125000 ARS (25%); unlocked by Investment39, Investment40, Investment41 (3 unlockers); user MP out ~7500 ARS (6%, absorbed by user)"
65,subscription,Growth Partners,25,Investment42,100000,1454000.00,128000.00,1326000.00,252000.00,164760.00,147000.00,314250.00,713250.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
66,surplus_payout,Growth Partners,25,Investment25,125000,1329000.00,3000.00,1326000.00,252000.00,172260.00,147000.00,314250.00,713250.00,"Surplus ≥ 125000; pool and surplus −125000; user MP out ~7500 ARS (6%, absorbed by user)"
67,subscription,Aggressive Alpha,40,Investment43,100000,1429000.00,28000.00,1401000.00,258000.00,172260.00,150500.00,320500.00,729000.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
68,subscription,Capital Shield,6,Investment44,100000,1529000.00,61500.00,1467500.00,264000.00,172260.00,154000.00,328875.00,746875.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
69,payout,Aggressive Alpha,40,Investment23,140000,1389000.00,61500.00,1327500.00,264000.00,180660.00,154000.00,328875.00,746875.00,"Cohort payout 140000 ARS (40%); unlocked by Investment42, Investment43, Investment44 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
70,subscription,Balanced Growth,15,Investment45,100000,1489000.00,92750.00,1396250.00,270000.00,180660.00,157500.00,336687.50,764187.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
71,subscription,Aggressive Alpha,40,Investment46,100000,1589000.00,117750.00,1471250.00,276000.00,180660.00,161000.00,342937.50,779937.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
72,surplus_payout,Balanced Growth,15,Investment26,115000,1474000.00,2750.00,1471250.00,276000.00,187560.00,161000.00,342937.50,779937.50,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
73,subscription,Stable Yield,10,Investment47,100000,1574000.00,35250.00,1538750.00,282000.00,187560.00,164500.00,351062.50,797562.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
74,payout,Aggressive Alpha,40,Investment27,140000,1434000.00,35250.00,1398750.00,282000.00,195960.00,164500.00,351062.50,797562.50,"Cohort payout 140000 ARS (40%); unlocked by Investment45, Investment46, Investment47 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
75,subscription,Balanced Growth,15,Investment48,100000,1534000.00,66500.00,1467500.00,288000.00,195960.00,168000.00,358875.00,814875.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
76,subscription,Balanced Growth,15,Investment49,100000,1634000.00,97750.00,1536250.00,294000.00,195960.00,171500.00,366687.50,832187.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
77,subscription,Capital Shield,6,Investment50,100000,1734000.00,131250.00,1602750.00,300000.00,195960.00,175000.00,375062.50,850062.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
78,surplus_payout,Growth Partners,25,Investment28,125000,1609000.00,6250.00,1602750.00,300000.00,203460.00,175000.00,375062.50,850062.50,"Surplus ≥ 125000; pool and surplus −125000; user MP out ~7500 ARS (6%, absorbed by user)"
79,payout,Balanced Growth,15,Investment29,115000,1494000.00,6250.00,1487750.00,300000.00,210360.00,175000.00,375062.50,850062.50,"Cohort payout 115000 ARS (15%); unlocked by Investment48, Investment49, Investment50 (3 unlockers); user MP out ~6900 ARS (6%, absorbed by user)"
80,subscription,Capital Shield,6,Investment51,100000,1594000.00,39750.00,1554250.00,306000.00,210360.00,178500.00,383437.50,867937.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
81,subscription,Stable Yield,10,Investment52,100000,1694000.00,72250.00,1621750.00,312000.00,210360.00,182000.00,391562.50,885562.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
82,subscription,Aggressive Alpha,40,Investment53,100000,1794000.00,97250.00,1696750.00,318000.00,210360.00,185500.00,397812.50,901312.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
83,payout,Stable Yield,10,Investment30,110000,1684000.00,97250.00,1586750.00,318000.00,216960.00,185500.00,397812.50,901312.50,"Cohort payout 110000 ARS (10%); unlocked by Investment51, Investment52, Investment53 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
84,subscription,Balanced Growth,15,Investment54,100000,1784000.00,128500.00,1655500.00,324000.00,216960.00,189000.00,405625.00,918625.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
85,surplus_payout,Balanced Growth,15,Investment32,115000,1669000.00,13500.00,1655500.00,324000.00,223860.00,189000.00,405625.00,918625.00,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
86,subscription,Balanced Growth,15,Investment55,100000,1769000.00,44750.00,1724250.00,330000.00,223860.00,192500.00,413437.50,935937.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
87,subscription,Balanced Growth,15,Investment56,100000,1869000.00,76000.00,1793000.00,336000.00,223860.00,196000.00,421250.00,953250.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
88,payout,Aggressive Alpha,40,Investment31,140000,1729000.00,76000.00,1653000.00,336000.00,232260.00,196000.00,421250.00,953250.00,"Cohort payout 140000 ARS (40%); unlocked by Investment54, Investment55, Investment56 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
89,subscription,Capital Shield,6,Investment57,100000,1829000.00,109500.00,1719500.00,342000.00,232260.00,199500.00,429625.00,971125.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
90,surplus_payout,Capital Shield,6,Investment33,106000,1723000.00,3500.00,1719500.00,342000.00,238620.00,199500.00,429625.00,971125.00,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
91,subscription,Aggressive Alpha,40,Investment58,100000,1823000.00,28500.00,1794500.00,348000.00,238620.00,203000.00,435875.00,986875.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
92,subscription,Aggressive Alpha,40,Investment59,100000,1923000.00,53500.00,1869500.00,354000.00,238620.00,206500.00,442125.00,1002625.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
93,payout,Growth Partners,25,Investment34,125000,1798000.00,53500.00,1744500.00,354000.00,246120.00,206500.00,442125.00,1002625.00,"Cohort payout 125000 ARS (25%); unlocked by Investment57, Investment58, Investment59 (3 unlockers); user MP out ~7500 ARS (6%, absorbed by user)"
94,subscription,Aggressive Alpha,40,Investment60,100000,1898000.00,78500.00,1819500.00,360000.00,246120.00,210000.00,448375.00,1018375.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
