step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,referral_bonus_outflow,inviter_earned_usdt,notes
21,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 7)",2,375.00,25.31,349.69,28.00,14.00,"inviter_bonus −2; credited"
22,subscription,Aggressive Alpha,40,"Referral invitee 8 (first invest)",25,400.00,28.64,371.36,28.00,14.00,"+25 pool; +3.33 surplus (S_sub)"
23,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 8 bonus",2,400.00,26.64,373.36,30.00,14.00,"invitee_bonus −2; credited"
24,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 8)",2,400.00,24.64,375.36,32.00,16.00,"inviter_bonus −2; credited"
25,subscription,Aggressive Alpha,40,"Referral invitee 9 (first invest)",25,425.00,27.97,397.03,32.00,16.00,"+25 pool; +3.33 surplus (S_sub)"
26,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 9 bonus",2,425.00,25.97,399.03,34.00,16.00,"invitee_bonus −2; credited"
27,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 9)",2,425.00,23.97,401.03,36.00,18.00,"inviter_bonus −2; credited"
28,subscription,Aggressive Alpha,40,"Referral invitee 10 (first invest)",25,450.00,27.30,422.70,36.00,18.00,"+25 pool; +3.33 surplus (S_sub)"
29,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 10 bonus",2,450.00,25.30,424.70,38.00,18.00,"invitee_bonus −2; credited"
30,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 10)",2,450.00,23.30,426.70,40.00,20.00,"inviter_bonus −2; credited"
31,subscription,Aggressive Alpha,40,"Referral invitee 11 (first invest)",25,475.00,26.63,448.37,40.00,20.00,"+25 pool; +3.33 surplus (S_sub)"
32,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 11 bonus",2,475.00,24.63,450.37,42.00,20.00,"invitee_bonus −2; credited"
33,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 11)",2,475.00,22.63,452.37,44.00,22.00,"inviter_bonus −2; credited"
34,subscription,Aggressive Alpha,40,"Referral invitee 12 (first invest)",25,500.00,25.96,474.04,44.00,22.00,"+25 pool; +3.33 surplus (S_sub)"
35,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 12 bonus",2,500.00,23.96,476.04,46.00,22.00,"invitee_bonus −2; credited"
36,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 12)",2,500.00,21.96,478.04,48.00,24.00,"inviter_bonus −2; credited"
37,subscription,Aggressive Alpha,40,"Referral invitee 13 (first invest)",25,525.00,25.29,499.71,48.00,24.00,"+25 pool; +3.33 surplus (S_sub)"
38,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 13 bonus",2,525.00,23.29,501.71,50.00,24.00,"invitee_bonus −2; credited"
39,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 13)",2,525.00,21.29,503.71,52.00,26.00,"inviter_bonus −2; credited"
40,subscription,Aggressive Alpha,40,"Referral invitee 14 (first invest)",25,550.00,24.62,525.38,52.00,26.00,"+25 pool; +3.33 surplus (S_sub)"
41,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 14 bonus",2,550.00,22.62,527.38,54.00,26.00,"invitee_bonus −2; credited"
42,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 14)",2,550.00,20.62,529.38,56.00,28.00,"inviter_bonus −2; credited"
43,subscription,Aggressive Alpha,40,"Referral invitee 15 (first invest)",25,575.00,23.95,551.05,56.00,28.00,"+25 pool; +3.33 surplus (S_sub)"
44,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 15 bonus",2,575.00,21.95,553.05,58.00,28.00,"invitee_bonus −2; credited"
45,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 15)",2,575.00,19.95,555.05,60.00,30.00,"inviter_bonus −2; credited"
46,subscription,Aggressive Alpha,40,"Referral invitee 16 (first invest)",25,600.00,23.28,576.72,60.00,30.00,"+25 pool; +3.33 surplus (S_sub)"
47,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 16 bonus",2,600.00,21.28,578.72,62.00,30.00,"invitee_bonus −2; credited"
48,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 16)",2,600.00,19.28,580.72,64.00,32.00,"inviter_bonus −2; credited"
49,subscription,Aggressive Alpha,40,"Referral invitee 17 (first invest)",25,625.00,22.61,602.39,64.00,32.00,"+25 pool; +3.33 surplus (S_sub)"
50,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 17 bonus",2,625.00,20.61,604.39,66.00,32.00,"invitee_bonus −2; credited"
51,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 17)",2,625.00,18.61,606.39,68.00,34.00,"inviter_bonus −2; credited"
52,subscription,Aggressive Alpha,40,"Referral invitee 18 (first invest)",25,650.00,21.94,628.06,68.00,34.00,"+25 pool; +3.33 surplus (S_sub)"
53,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 18 bonus",2,650.00,19.94,630.06,70.00,34.00,"invitee_bonus −2; credited"
54,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 18)",2,650.00,17.94,632.06,72.00,36.00,"inviter_bonus −2; credited"
55,subscription,Aggressive Alpha,40,"Referral invitee 19 (first invest)",25,675.00,21.27,653.73,72.00,36.00,"+25 pool; +3.33 surplus (S_sub)"
56,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 19 bonus",2,675.00,19.27,655.73,74.00,36.00,"invitee_bonus −2; credited"
57,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 19)",2,675.00,17.27,657.73,76.00,38.00,"inviter_bonus −2; credited"
58,subscription,Aggressive Alpha,40,"Referral invitee 20 (first invest)",25,700.00,20.60,679.40,76.00,38.00,"+25 pool; +3.33 surplus (S_sub)"
59,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 20 bonus",2,700.00,18.60,681.40,78.00,38.00,"invitee_bonus −2; credited"
60,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 20)",2,700.00,16.60,683.40,80.00,40.00,"inviter_bonus −2; credited"
61,summary,Aggressive Alpha,40,"After 20 qualified invitees",0,700.00,16.60,683.40,80.00,40.00,"Inviter earned 40 USDT; invitees earned 40 USDT; total bonus outflow 80; surplus net -13.40; pool net +500.00; queued bonus events 0"
